basin,area_km2,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,BD,CLAY,GRAV,OC,SAND,SILT,mean_elev,mean_slope,std_elev,std_slope
05QA004,3647.832853466367,0.3668481412516608,0.0,0.0,0.0,0.06858687167993266,0.31158680561502755,0.0,0.022253596255343306,0.0,0.014186092603422162,0.0,0.0,0.0,0.007897692377333376,0.0,0.0,0.007663528991482521,0.20097727122579762,0.0,137.9294992175274,4.518348982785603,5.169483568075117,89.98683489827856,83.79381846635368,11.451956181533646,416.1434121512499,1.8865499720785537,23.157557112466886,1.487284165799899
06EB004,234145.10972322727,0.4237342576266877,0.0029569157413485625,0.0,0.0,0.04688376433343005,0.06177860263871247,0.0,0.08932617934417061,0.0,0.062228497758174565,0.0,2.6065445725329714e-05,0.0,0.09730868986113587,0.025979770539415577,0.000856740806655583,0.0035942831252882786,0.1853262327792554,0.0,116.34805429945678,14.035620938903321,5.227586697829405,833.2548257480491,61.886908580466084,22.212303918766423,455.37350306473917,1.455234723521754,99.12818298687387,1.4683328635368067
06FB002,4056.646529459265,0.39344428116234426,0.000297539921347254,0.0,0.0,2.956393824600111e-06,2.3228808621858014e-06,0.0,0.1812837464436166,0.0,0.2632941111380237,0.0,3.0408622195886854e-05,0.00014021753568103384,0.030714397785745494,0.0,1.1192062335986134e-05,0.0,0.13077882605402302,0.0,127.83077298881771,18.895708934969058,5.87696775594398,796.0138692867224,35.95258386711541,41.56015904896319,237.03308860646814,0.7218740139594788,30.3874408992838,0.6378851393410605
05EA005,1897.118326338622,0.020241091023767997,0.0,0.0,0.0,0.03943128188672896,0.20503402323748965,0.0,0.026300546412918256,0.0,0.04090143880460337,0.0,0.0,0.0,0.017131143697495216,0.5226908928422023,0.0001549227271180971,0.05660379960630319,0.07151085976137303,0.0,128.3982100708104,27.718790978232363,3.191253606084448,598.4506949908209,35.44295830055075,35.748492001049044,727.987514791974,1.1584627782043313,34.71033518431925,0.9407368033320083
06AG002,2762.7384615374986,0.3099104770359257,0.0,0.0,0.0,0.04526628362058648,0.08419160596953788,0.0,0.023695518260341285,0.0,0.00456708787913913,0.0,0.0,0.0,0.24087234237044394,0.0,1.5706334270373235e-06,0.0023408720596564273,0.2891542421709421,0.0,110.50482891832229,19.994674392935984,5.897930463576159,1130.2253863134658,43.55841611479029,33.31633554083885,476.84123400266895,0.7784808731782081,24.48006701008831,1.082340644760005
05FE004,25354.583828612136,0.0013632717969513921,0.0,0.0,0.0,0.009512177062017794,0.04023689788540628,0.0,0.0858224231221969,0.0,0.13703348596902673,0.0,0.0,0.0,0.012045129140592074,0.6215330164360754,0.0006344403976878357,0.04294326920881102,0.0488758889812346,0.0,138.16904857486952,22.29028251706142,4.242191890806905,163.58447912484945,41.664793255720596,34.90459152950622,731.5982822124327,1.0940926676971283,70.7001543044591,1.2113505438952261
05KJ001,380133.77708014025,0.11073549596472748,1.3901079427621571e-08,0.0,0.0,0.037648916645555176,0.029683030506118053,0.0,0.05729793718777799,0.0,0.1739742077240801,0.0,1.3901079427621571e-08,0.0,0.05478295158088613,0.4262852285846469,0.020975514828677606,0.03615696244436655,0.05156546102403998,0.0008942657069651808,132.79416017455182,23.25282860132829,3.8896799514099594,366.17308143471746,41.866656292962524,33.88823792945425,789.4106061707149,2.221962930979301,411.5242242655082,4.779453817889257
05QA002,7151.918853115744,0.22846840382991174,0.0,0.0,0.0,0.11339293347041314,0.4272048027071007,0.0,0.018429187671741478,0.0,0.008127017934943245,0.0,0.0,0.0,0.027163137262570268,0.0,0.0,0.012553282006118452,0.164661235117201,0.0,140.30062597809078,4.270813771517997,5.013145539906104,94.9570813771518,84.44522691705791,11.035054773082942,455.4776246474337,1.7539846227368365,28.192385088106565,1.4337356296479298
05BH009,609.927226912722,0.402012519370717,0.0,0.0,0.0,0.00044774340232652123,0.003090592445929169,0.0,0.4014906366387845,0.0,0.10614862173532551,0.0,0.0,0.0,9.594501478425455e-05,0.05069676432706202,0.011654411871596496,0.016884868889683585,0.007477896303790991,0.0,133.989729020979,28.53583916083916,11.840909090909092,331.96722027972027,29.086756993006993,41.30812937062937,1473.7924170035526,6.112357469972753,214.53239326906387,5.695879802443149
05JF005,4578.301257477995,5.843423139605027e-06,0.0,0.0,0.0,0.008582040784366583,8.76513470940754e-06,0.0,0.012248399242926098,0.0,0.031096944922036074,0.0,0.0,0.0,0.003645906477570897,0.8315124902195705,2.4737157957661284e-05,0.07717428418553492,0.03570058845218824,0.0,136.39990455738487,40.64295514197089,0.4049451204963016,122.40405034597948,27.10720890002386,31.288922691481748,603.7529982454822,0.5356085004480023,32.90140395752032,0.4921516874194382
