,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,3.44223,0.13495,2.07561,3.4815,2.24983
1966-01-01,3.9654,0.21376,3.24802,3.66948,3.16587
1971-01-01,4.03393,0.20601,3.87027,3.50568,3.54802
1976-01-01,3.66684,0.05717,4.0302,2.97734,3.39787
1981-01-01,3.89432,0.06659,4.37358,2.93379,3.47965
1986-01-01,3.53628,0.07438,3.81151,2.70992,3.05953
1991-01-01,3.46883,0.08735,2.83522,2.67135,2.12509
1996-01-01,3.23125,0.09175,1.79455,2.55181,1.20685
2001-01-01,3.04657,0.09331,2.11379,2.40809,1.56863
2006-01-01,4.02701,0.09802,1.61092,2.27037,-0.0477
2011-01-01,4.01823,0.09649,2.86825,1.86413,0.81064
2016-01-01,4.09646,0.10245,3.67068,1.71704,1.39371
2021-01-01,4.13659,0.12764,3.48061,1.51089,0.98256
