,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.0,0.00595,0.0,0.0,0.00595
1966-01-01,0.0,0.00725,0.0,0.0,0.00725
1971-01-01,0.0,0.00698,0.0,0.0,0.00698
1976-01-01,0.0,0.00354,0.0,0.0,0.00354
1981-01-01,0.0,0.02384,0.0,0.0,0.02384
1986-01-01,0.0,0.02155,0.0,0.0,0.02155
1991-01-01,0.0,0.02178,0.0,0.0,0.02178
1996-01-01,0.0,0.02081,0.0,0.0,0.02081
2001-01-01,0.0,0.01925,0.0,0.0,0.01925
2006-01-01,0.0,0.0179,0.0,0.0,0.0179
2011-01-01,0.0,0.01723,0.0,0.0,0.01723
2016-01-01,0.0,0.01737,0.0,0.0,0.01737
2021-01-01,0.0,0.02379,0.0,0.0,0.02379
