,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.10842,0.00267,0.02127,0.05346,-0.03102
1966-01-01,0.17509,0.00388,0.06499,0.05997,-0.04625
1971-01-01,0.19474,0.00347,0.05806,0.06231,-0.07089
1976-01-01,0.25273,0.00283,0.11724,0.08483,-0.04783
1981-01-01,0.27808,0.00349,0.17031,0.0844,-0.01987
1986-01-01,0.31093,0.00387,0.17426,0.08984,-0.04296
1991-01-01,0.33238,0.00367,0.15472,0.11996,-0.05402
1996-01-01,0.35477,0.00393,0.17181,0.14726,-0.03177
2001-01-01,0.31011,0.00377,0.16283,0.1581,0.0146
2006-01-01,0.36997,0.00386,0.15,0.16662,-0.04948
2011-01-01,0.38656,0.0037,0.19683,0.11118,-0.07485
2016-01-01,0.39914,0.00325,0.21604,0.10857,-0.07128
2021-01-01,0.3255,0.00398,0.25621,0.13256,0.06725
