id,name,lat,lon,obs_q
1119USBR_WQX-AFE123,Snake River at Neeley; ID,42.7683333,-112.8783333,
1119USBR_WQX-CSP108,Snake River at Montgomery Bridge,42.6337,-113.612,
1119USBR_WQX-CSP111,Twin Falls Canal 1 mile South of MilnerDam,42.5219444,-114.0169444,
1119USBR_WQX-EMM015,PAYETTE RIVER AT BRIDGE .5M BELOW BLACK CAN. DAM,43.9231167,-116.4427472,
1119USBR_WQX-GAR100,PAYETTE RIVER AT HARTSELL BRIDGE,44.79,-116.145,
1119USBR_WQX-GAR101,Payette River below Cascade Dam at Highway55 Bridge,44.5239444,-116.0433333,
1119USBR_WQX-MAL005,WILLOW CR AT RR XING E OF VALE,43.9883278,-117.2295417,
1119USBR_WQX-MAL160,WILLOW CREEK AT BROGAN CANYON,44.2934333,-117.551275,
11NPSWRD_WQX-OLYM_UW_WTGR,WEIR ON W. TWIN CR. NEAR CONFLUENCE W/TWIN CR.,47.8321389,-123.9991667,
11NPSWRD_WQX-OLYM_UW_WTQP,WEIR ON W. TWIN CR. NEAR CONFLUENCE W/TWIN CR.,47.8321389,-123.9991667,
11NPSWRD_WQX-ROMO_JB_LOCHO,OUTLET STREAM FROM THE LOCH,40.2928056,-105.6545833,
11NPSWRD_WQX-ROMO_USGS_ANDRW,ANDREWS CREEK,40.2897222,-105.6666667,
11NPSWRD_WQX-ROMO_USGS_ICY,ICY BROOK,40.2852778,-105.6638889,
11NPSWRD_WQX-SAAN_SAMHD_APC,APACHE CREEK AT 3400 WEST DURANGO BOULEVARD,29.4245278,-98.5362222,
11NPSWRD_WQX-SAAN_SAMHD_MC,MEDIO CREEK AT OLD PEARSALL ROAD,29.3279167,-98.6386111,
11NPSWRD_WQX-SAAN_SAMHD_SC1,SALADO CREEK AT 3800 INTERSTATE HIGHWAY 35 NORTH,29.44975,-98.4225,
11NPSWRD_WQX-SAAN_SAMHD_SM2,SIX MILE CREEK AT 1200 WAGNER AVENUE,29.3644722,-98.5380833,
11NPSWRD_WQX-SAAN_SAMHD_SPC,SAN PEDRO CREEK AT 500 FURNISH AVENUE,29.4060556,-98.5104167,
11NPSWRD_WQX-SAAN_SAMHD_SR1,SAN ANTONIO RIVER AT 300 THEO AVENUE,29.3876111,-98.4988056,
11NPSWRD_WQX-SEQU_CSU_008,EMERALD LAKE,36.5982778,-118.6751944,
21AWIC-1107,MOBM-1,31.0137,-88.01853,
21AWIC-347,B-1,33.296944,-86.842639,
21AWIC-385,BLB-1,30.4059,-88.2481,
21AWIC-409,BS-1,30.30221,-87.73575,
21AWIC-443,C-1,33.60503,-86.54924,
21AWIC-444,C-2,33.41546,-86.74002,
21AWIC-445,C-3,33.284692,-86.882812,
21AWIC-452,CAHS-1,33.3635,-86.8132,
21AWIC-515,CS-1,30.78224,-88.072481,
21AWIC-516,CS-2,30.73925,-88.04571,
21AWIC-546,E-1,30.862741,-88.417868,
21AWIC-553,FI-1,30.5458,-87.7983,
21AWIC-620,HO-1,30.867688,-87.716972,
21AWIC-672,LC-1,33.52444,-86.575277,
21AWIC-716,MO-1A,30.8364,-87.94406,
21AWIC-717,MO-2,30.69137,-88.03646,
21AWIC-872,TA-2,33.732723,-85.372167,
21AWIC-893,TM-1,30.723983,-88.059119,
21AWIC-927,WB-1,30.41469,-87.82583,
21AWIC-942,WO-1A,30.373311,-87.632586,
21AWIC-983,CHAC-1,34.290278,-85.509167,
21COL001_WQX-CO0026638-160,SP-160; South Platte River at 160th Avenue,39.986955,-104.832293,
21COL001_WQX-CO0026638-SC,SC; Sand Creek on Burlington Ditch Flume,39.81006,-104.950667,
21COL001_WQX-CO0032999-DOWN,Downstream (S Platte at Evans),39.67485,-104.997533,
21COL001_WQX-CO0032999-UP,Upstream (S Platte at Dartmouth),39.6627,-105.004316,
21DELAWQ_WQX-102051,Shellpot Creek @ Market St. (Rt. 13 Bus.),39.763006,-75.516873,
21DELAWQ_WQX-103031,Red Clay Creek @ Lancaster Pike (Rt. 48) (USGS gage 01480000),39.762878,-75.636578,
21DELAWQ_WQX-104021,Brandywine Creek @ New Bridge Rd. (Rd. 279) (USGS gage 01481500),39.769832,-75.578844,
21DELAWQ_WQX-105151,White Clay Creek @ Delaware Park Blvd. (USGS gage 014790000),39.698957,-75.675438,
21DELAWQ_WQX-106141,Christina River @ Sunset Lake Rd. (Rt. 72) (USGS gage 01478000),39.637456,-75.72848,
21DELAWQ_WQX-109251,Deep Creek Branch @ Summit Bridge Rd. (Rt. 71),39.431,-75.7096,
21DELAWQ_WQX-206011,Murderkill River @ Rt. 13,38.975858,-75.567529,
21DELAWQ_WQX-206041,Browns Branch @ Milford-Harrington Hwy. (Rt. 14),38.922831,-75.551301,
21DELAWQ_WQX-206561,Double Run @ Barratts Chapel Rd. (Rd. 371),39.034491,-75.483564,
21DELAWQ_WQX-302031,Marshyhope Creek @ Fishers Bridge Rd. (Rd. 308),38.849615,-75.673571,
21DELAWQ_WQX-304191,Nanticoke River @ Rifle Range Rd. (Rd. 545),38.728446,-75.562085,
21DELAWQ_WQX-310121,Beaver Dam Ditch @ Beaver Dam Rd. (Rd. 368),38.521498,-75.133453,
21FLEECO_WQX-10MIGR10,,26.4809895,-81.8545447,
21FLEECO_WQX-10MIGR20,,26.5059754,-81.8542174,
21FLEECO_WQX-10MIGR40,,26.5282347,-81.8549693,
21FLEECO_WQX-10MIGR50,,26.5459969,-81.8552638,
21FLEECO_WQX-10MIGR80,,26.597109,-81.855622,
