basin,p_mean,pet_mean,aridity,t_mean,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
8736,2.438362029201171,0.9022606898965712,0.3700273704607186,4.179714533947459,0.22455840908628416,0.051526851526851526,1.1292307692307693,0.654054054054054,3.6112403100775192
8801,2.4614373528417164,0.9469820774248708,0.3847272717835313,5.24292196478967,0.181075213037684,0.05616005616005616,1.1644832605531295,0.6942084942084942,4.052868852459016
8826,2.390434319542792,0.9347176945364876,0.391024211330461,4.4799235389545276,0.20807612924341198,0.055949455949455947,1.1369472182596292,0.6826956826956827,3.807752545027408
8939,2.4412142853521757,0.9653282118202265,0.3954295276790771,6.402792837080309,0.1650127975564279,0.05784485784485784,1.1654879773691655,0.7020709020709021,4.019694533762058
9086,2.615004286722332,1.0292090065054968,0.3935783247971329,7.336898951175563,0.14667722164525498,0.058125658125658126,1.1694915254237288,0.7013689013689014,4.113215314944422
9087,2.616680787747246,1.0297421049757645,0.3935298909204322,7.403733143628406,0.14543797507094716,0.05847665847665848,1.1683029453015428,0.7024219024219024,4.127887788778878
107712,2.478841437475071,0.8979643223506552,0.36225161834688174,4.0866099231690445,0.24526707241530127,0.05047385047385047,1.1112828438948996,0.6352404352404353,3.4393766628658304
108073,2.4377400000053733,0.9040414845610538,0.37085229949012655,4.207261536233153,0.22428005141448507,0.05180765180765181,1.1336405529953917,0.6547560547560548,3.6067285382830625
108077,2.437201089578574,0.9066275192510856,0.37199536924868776,4.275553104056016,0.22455292505277907,0.052088452088452086,1.125948406676783,0.6586170586170587,3.6449106449106448
108132,2.395381167556072,0.901950328798954,0.3765372881006591,4.051226664835175,0.23850542671004638,0.05124605124605124,1.140625,0.6492804492804493,3.490188679245283
108229,2.4230467243323712,0.9263413070326154,0.38230435167850624,4.4533621159355,0.2108691868948103,0.053562653562653564,1.1388059701492537,0.6740610740610741,3.814858959078268
108359,2.47816993268377,0.9416174824127368,0.3799648563216157,5.153405586991259,0.18290699035238395,0.05440505440505441,1.1742424242424243,0.6888030888030888,4.019664072101597
108807,2.3919037642963272,0.924233398136886,0.3864007456875196,4.481888947433118,0.2173749331940179,0.055036855036855035,1.1428571428571428,0.6795366795366795,3.796078431372549
108829,2.3037040228357752,0.960123963190854,0.41677400988733637,5.636808022848346,0.1851052366761003,0.058546858546858545,1.1615598885793872,0.7111969111969112,4.296437659033079
108987,2.2984102117084233,0.9678459838204306,0.42109366678327814,5.834466544157681,0.17992658988177718,0.057774657774657776,1.164073550212164,0.714987714987715,4.352564102564102
109100,2.305969210251026,0.965605245528253,0.4187416038495752,5.789986269758912,0.18198873326263748,0.05791505791505792,1.1652542372881356,0.7127413127413127,4.314917127071824
109253,2.3114138733265674,0.9687620160750671,0.419120966285814,6.169501271291191,0.1750340359722355,0.057634257634257634,1.1628895184135977,0.7184977184977185,4.417350021579629
109465,2.322315437809786,0.9788961379113258,0.4215173020744068,6.640077893681369,0.16603549053430883,0.058546858546858545,1.1846590909090908,0.7222885222885223,4.444492440604751
109954,2.428576032428726,0.9694643857682309,0.3991904609215412,6.5960740876226165,0.1665791643866856,0.058336258336258336,1.1622377622377622,0.7053703053703053,4.049979846835953
110902,2.630576202922042,1.0148104162976168,0.38577495499669096,7.1990279063764575,0.14334957832990877,0.05728325728325728,1.1724137931034482,0.6963846963846964,4.097480380008261
110991,2.5323912600006313,1.0146351701046445,0.40066287786208504,7.204984591582286,0.15441345090756978,0.0577044577044577,1.1659574468085105,0.6970866970866971,4.018615944961554
111013,2.5771333691011336,1.0167290027944489,0.3945193582080966,7.276603196176214,0.1505520864378227,0.05896805896805897,1.1781206171107994,0.6954018954018955,4.010526315789473
111065,2.5974595934246945,1.0175324776845105,0.3917414077432927,7.411119229752214,0.1427681336985762,0.057985257985257985,1.165021156558533,0.6962442962442963,4.053126277073968
111075,2.6018729397952316,1.0181482682116745,0.39131360053723574,7.472882847531341,0.13982148353744828,0.058125658125658126,1.1629213483146068,0.6951912951912952,4.037097431716266
