,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,1.89597,0.0,1.33269,1.85926,1.29598
1966-01-01,1.8915,0.0,2.15546,1.72292,1.98688
1971-01-01,1.99554,0.0,2.88723,1.77512,2.66681
1976-01-01,2.13921,0.0,3.70878,1.6365,3.20608
1981-01-01,2.27464,0.0,2.89628,1.51819,2.13983
1986-01-01,1.98692,0.0,2.37907,1.27692,1.66907
1991-01-01,1.88341,0.0,1.7971,1.32259,1.23628
1996-01-01,1.68132,0.0,1.07898,1.2364,0.63407
2001-01-01,1.44924,0.0,1.17086,1.0755,0.79711
2006-01-01,1.649,0.0,0.84332,0.94222,0.13653
2011-01-01,1.59103,0.0,1.4701,0.73144,0.61051
2016-01-01,1.47632,0.0,1.75671,0.67248,0.95287
2021-01-01,1.39231,0.0,1.62021,0.56141,0.78931
