,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,0.0,0.00266,0.0,0.0,0.00266
1966-01-01,0.0,0.00378,0.0,0.0,0.00378
1971-01-01,0.0,0.0041,0.0,0.0,0.0041
1976-01-01,0.0,0.00419,0.0,0.0,0.00419
1981-01-01,0.0,0.00497,0.0,0.0,0.00497
1986-01-01,0.0,0.00496,0.0,0.0,0.00496
1991-01-01,0.0,0.00546,0.0,0.0,0.00546
1996-01-01,0.0,0.00602,0.0,0.0,0.00602
2001-01-01,0.0,0.00571,0.0,0.0,0.00571
2006-01-01,0.0,0.00573,0.0,0.0,0.00573
2011-01-01,0.0,0.00521,0.0,0.0,0.00521
2016-01-01,0.0,0.00541,0.0,0.0,0.00541
2021-01-01,0.0,0.00537,0.0,0.0,0.00537
