,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,7.19863,0.63676,3.68468,8.47062,5.59343
1966-01-01,7.46128,0.97675,5.59027,8.99298,8.09872
1971-01-01,7.75925,0.96452,6.37681,8.52202,8.10411
1976-01-01,7.63052,0.81577,7.77328,8.87437,9.8329
1981-01-01,8.08058,0.88121,8.77528,9.2506,10.82652
1986-01-01,7.80875,0.91876,8.03498,8.74637,9.89136
1991-01-01,7.54095,1.00508,5.99818,8.9067,8.369
1996-01-01,7.37276,1.01324,3.97511,9.05471,6.67031
2001-01-01,6.75676,1.04022,4.48152,9.8938,8.65878
2006-01-01,9.18912,1.03553,3.53612,10.61853,6.00106
2011-01-01,9.34173,1.03015,6.56066,11.06509,9.31417
2016-01-01,9.31125,1.08883,8.15747,11.46778,11.40283
2021-01-01,10.47723,1.19929,8.86791,12.42764,12.01761
