id,name,lat,lon,obs_q
05KE010,WHITE GULL CREEK AT HIGHWAY NO. 106,53.86497116088867,-104.61963653564452,05KE010
05KH007,CARROT RIVER NEAR TURNBERRY,53.61368942260742,-102.1037826538086,05KH007
05KJ001,SASKATCHEWAN RIVER AT THE PAS,53.83805847167969,-101.2087173461914,05KJ001
05KL001,SASKATCHEWAN RIVER AT GRAND RAPIDS,53.16389083862305,-99.34889221191406,05KL001
05LC001,RED DEER RIVER NEAR ERWOOD,52.85947036743164,-102.19506072998048,05LC001
05LH005,WATERHEN RIVER NEAR WATERHEN,51.8484992980957,-99.54617309570312,05LH005
05LJ025,MOSSY RIVER BELOW OUTLET OF DAUPHIN LAKE,51.4503288269043,-99.97107696533205,05LJ025
05LL002,WHITEMUD RIVER AT WESTBOURNE,50.13494110107422,-98.58406066894533,05LL002
05LL014,PINE CREEK NEAR MELBOURNE,49.90092086791992,-99.21439361572266,05LL014
05LM001,FAIRFORD RIVER NEAR FAIRFORD,51.58732986450195,-98.71180725097656,05LM001
05LM006,DAUPHIN RIVER NEAR DAUPHIN RIVER,52.001949310302734,-98.32978057861328,05LM006
05MD004,ASSINIBOINE RIVER AT KAMSACK,51.56489181518555,-101.91655731201172,05MD004
05ME001,ASSINIBOINE RIVER NEAR RUSSELL,50.81005096435547,-101.43536376953124,05ME001
05MF001,LITTLE SASKATCHEWAN RIVER NEAR MINNEDOSA,50.35881042480469,-99.90753173828124,05MF001
05MH005,ASSINIBOINE RIVER NEAR HOLLAND,49.698638916015625,-98.88955688476562,05MH005
05MH013,ASSINIBOINE RIVER NEAR BRANDON,49.87057876586914,-100.10002899169922,05MH013
05MJ001,ASSINIBOINE RIVER AT HEADINGLEY,49.86827850341797,-97.40528106689452,05MJ001
05NA003,LONG CREEK AT WESTERN CROSSING OF INTERNATIONAL BOUNDARY,49.00008010864258,-103.3525619506836,05NA003
05NB001,LONG CREEK NEAR ESTEVAN,49.102081298828125,-103.0169677734375,05NB001
05NB021,SHORT CREEK NEAR ROCHE PERCEE,49.03125,-102.849609375,05NB021
05ND007,SOURIS RIVER NEAR SHERWOOD,48.9900016784668,-101.95777893066406,05ND007
05ND010,MOOSE MOUNTAIN CREEK ABOVE GRANT DEVINE LAKE,49.52278137207031,-102.17194366455078,05ND010
05NF012,SOURIS RIVER NEAR WESTHOPE,48.99639129638672,-100.95806121826172,05NF012
05NG001,SOURIS RIVER AT WAWANESA,49.59693908691406,-99.67864227294922,05NG001
05NG024,PIPESTONE CREEK NEAR THE SASKATCHEWAN BOUNDARY,49.84175109863281,-101.39778137207033,05NG024
05OB007,PEMBINA RIVER NEAR WINDYGATES,49.03142166137695,-98.27742767333984,05OB007
05OB016,SNOWFLAKE CREEK NEAR SNOWFLAKE,49.02030944824219,-98.60350036621094,05OB016
05OC001,RED RIVER AT EMERSON,49.00374984741211,-97.2238311767578,05OC001
