,Crop_and_Pasture_P_Removal [kg ha**-1 yr**-1],Domestic_Waste_P [kg ha**-1 yr**-1],Fertilizer_P [kg ha**-1 yr**-1],Livestock_Manure_P [kg ha**-1 yr**-1],P_Surplus [kg ha**-1 yr**-1]
1961-01-01,2.6567,0.02446,1.75577,3.03387,2.1574
1966-01-01,2.7402,0.03241,2.93408,2.79698,3.02327
1971-01-01,2.73786,0.02837,3.6538,2.7139,3.65822
1976-01-01,2.86397,0.02231,4.20531,2.44817,3.81182
1981-01-01,2.99406,0.02355,3.80428,2.29345,3.12722
1986-01-01,2.8189,0.02453,3.15951,2.16352,2.52866
1991-01-01,2.68147,0.02506,2.33451,2.32066,1.99877
1996-01-01,2.45498,0.02508,1.48618,2.18789,1.24417
2001-01-01,2.23806,0.02316,1.69988,2.08871,1.57368
2006-01-01,2.65519,0.0223,1.24372,2.08158,0.69241
2011-01-01,2.56528,0.02041,2.13135,1.56585,1.15233
2016-01-01,2.52717,0.02066,2.60582,1.79211,1.89142
2021-01-01,2.82157,0.01312,2.80566,2.01588,2.01309
